               r         Re(p_n)         Im(p_n)
      0.1000E+00      0.0000E+00      0.0000E+00
      0.1035E+00      0.1923E-22      0.1313E-34
      0.1070E+00      0.4116E-22      0.2810E-34
      0.1105E+00      0.7087E-22      0.4838E-34
      0.1141E+00      0.1162E-21      0.7934E-34
      0.1176E+00      0.1895E-21      0.1294E-33
      0.1211E+00      0.3100E-21      0.2116E-33
      0.1246E+00      0.5071E-21      0.3462E-33
      0.1281E+00      0.8261E-21      0.5639E-33
      0.1316E+00      0.1335E-20      0.9116E-33
      0.1352E+00      0.2138E-20      0.1459E-32
      0.1387E+00      0.3386E-20      0.2311E-32
      0.1422E+00      0.5301E-20      0.3619E-32
      0.1457E+00      0.8204E-20      0.5601E-32
      0.1492E+00      0.1255E-19      0.8570E-32
      0.1527E+00      0.1899E-19      0.1297E-31
      0.1562E+00      0.2842E-19      0.1940E-31
      0.1598E+00      0.4207E-19      0.2872E-31
      0.1633E+00      0.6161E-19      0.4206E-31
      0.1668E+00      0.8929E-19      0.6096E-31
      0.1703E+00      0.1281E-18      0.8744E-31
      0.1738E+00      0.1818E-18      0.1241E-30
      0.1773E+00      0.2555E-18      0.1744E-30
      0.1809E+00      0.3552E-18      0.2425E-30
      0.1844E+00      0.4885E-18      0.3335E-30
      0.1879E+00      0.6644E-18      0.4535E-30
      0.1914E+00      0.8929E-18      0.6096E-30
      0.1949E+00      0.1185E-17      0.8090E-30
      0.1984E+00      0.1551E-17      0.1059E-29
      0.2020E+00      0.2000E-17      0.1366E-29
      0.2055E+00      0.2535E-17      0.1731E-29
      0.2090E+00      0.3149E-17      0.2150E-29
      0.2125E+00      0.3817E-17      0.2606E-29
      0.2160E+00      0.4488E-17      0.3064E-29
      0.2195E+00      0.5063E-17      0.3457E-29
      0.2230E+00      0.5380E-17      0.3673E-29
      0.2266E+00      0.5177E-17      0.3534E-29
      0.2301E+00      0.4050E-17      0.2765E-29
      0.2336E+00      0.1396E-17      0.9528E-30
      0.2371E+00      0.3668E-17      0.2504E-29
      0.2406E+00      0.1241E-16      0.8471E-29
      0.2441E+00      0.2661E-16      0.1816E-28
      0.2477E+00      0.4873E-16      0.3327E-28
      0.2512E+00      0.8217E-16      0.5610E-28
      0.2547E+00      0.1315E-15      0.8975E-28
      0.2582E+00      0.2026E-15      0.1383E-27
      0.2617E+00      0.3036E-15      0.2073E-27
      0.2652E+00      0.4445E-15      0.3034E-27
      0.2688E+00      0.6381E-15      0.4356E-27
      0.2723E+00      0.9005E-15      0.6147E-27
      0.2758E+00      0.1251E-14      0.8540E-27
      0.2793E+00      0.1713E-14      0.1169E-26
      0.2828E+00      0.2313E-14      0.1579E-26
      0.2863E+00      0.3082E-14      0.2104E-26
      0.2898E+00      0.4053E-14      0.2767E-26
      0.2934E+00      0.5262E-14      0.3593E-26
      0.2969E+00      0.6744E-14      0.4604E-26
      0.3004E+00      0.8529E-14      0.5822E-26
      0.3039E+00      0.1064E-13      0.7265E-26
      0.3074E+00      0.1310E-13      0.8940E-26
      0.3109E+00      0.1588E-13      0.1084E-25
      0.3145E+00      0.1896E-13      0.1294E-25
      0.3180E+00      0.2225E-13      0.1519E-25
      0.3215E+00      0.2562E-13      0.1749E-25
      0.3250E+00      0.2883E-13      0.1968E-25
      0.3285E+00      0.3156E-13      0.2154E-25
      0.3320E+00      0.3328E-13      0.2272E-25
      0.3355E+00      0.3328E-13      0.2272E-25
      0.3391E+00      0.3048E-13      0.2081E-25
      0.3426E+00      0.2338E-13      0.1596E-25
      0.3461E+00      0.9812E-14      0.6699E-26
      0.3496E+00      0.1328E-13      0.9069E-26
      0.3531E+00      0.5023E-13      0.3429E-25
      0.3566E+00      0.1071E-12      0.7309E-25
      0.3602E+00      0.1922E-12      0.1312E-24
      0.3637E+00      0.3170E-12      0.2164E-24
      0.3672E+00      0.4974E-12      0.3396E-24
      0.3707E+00      0.7543E-12      0.5149E-24
      0.3742E+00      0.1116E-11      0.7617E-24
      0.3777E+00      0.1619E-11      0.1105E-23
      0.3812E+00      0.2312E-11      0.1578E-23
      0.3848E+00      0.3257E-11      0.2224E-23
      0.3883E+00      0.4535E-11      0.3096E-23
      0.3918E+00      0.6247E-11      0.4264E-23
      0.3953E+00      0.8521E-11      0.5817E-23
      0.3988E+00      0.1152E-10      0.7863E-23
      0.4023E+00      0.1544E-10      0.1054E-22
      0.4059E+00      0.2054E-10      0.1402E-22
      0.4094E+00      0.2711E-10      0.1851E-22
      0.4129E+00      0.3555E-10      0.2427E-22
      0.4164E+00      0.4631E-10      0.3162E-22
      0.4199E+00      0.5997E-10      0.4094E-22
      0.4234E+00      0.7721E-10      0.5271E-22
      0.4270E+00      0.9889E-10      0.6751E-22
      0.4305E+00      0.1260E-09      0.8604E-22
      0.4340E+00      0.1599E-09      0.1092E-21
      0.4375E+00      0.2021E-09      0.1380E-21
      0.4410E+00      0.2544E-09      0.1737E-21
      0.4445E+00      0.3192E-09      0.2179E-21
      0.4480E+00      0.3992E-09      0.2725E-21
      0.4516E+00      0.4978E-09      0.3399E-21
      0.4551E+00      0.6191E-09      0.4227E-21
      0.4586E+00      0.7679E-09      0.5243E-21
      0.4621E+00      0.9499E-09      0.6485E-21
      0.4656E+00      0.1172E-08      0.7999E-21
      0.4691E+00      0.1441E-08      0.9839E-21
      0.4727E+00      0.1767E-08      0.1206E-20
      0.4762E+00      0.2159E-08      0.1474E-20
      0.4797E+00      0.2630E-08      0.1795E-20
      0.4832E+00      0.3191E-08      0.2178E-20
      0.4867E+00      0.3858E-08      0.2633E-20
      0.4902E+00      0.4646E-08      0.3172E-20
      0.4938E+00      0.5576E-08      0.3807E-20
      0.4973E+00      0.6668E-08      0.4552E-20
      0.5008E+00      0.7948E-08      0.5426E-20
      0.5043E+00      0.9442E-08      0.6446E-20
      0.5078E+00      0.1119E-07      0.7636E-20
      0.5113E+00      0.1321E-07      0.9020E-20
      0.5148E+00      0.1556E-07      0.1063E-19
      0.5184E+00      0.1829E-07      0.1248E-19
      0.5219E+00      0.2143E-07      0.1463E-19
