             rho         Re(p_n)         Im(p_n)
      0.1000E+00      0.0000E+00      0.0000E+00
      0.1035E+00      0.1879E-21     -0.1931E-24
      0.1070E+00      0.4267E-21     -0.4385E-24
      0.1105E+00      0.8213E-21     -0.8441E-24
      0.1141E+00      0.1510E-20     -0.1552E-23
      0.1176E+00      0.2712E-20     -0.2788E-23
      0.1211E+00      0.4784E-20     -0.4916E-23
      0.1246E+00      0.8302E-20     -0.8532E-23
      0.1281E+00      0.1419E-19     -0.1459E-22
      0.1316E+00      0.2392E-19     -0.2458E-22
      0.1352E+00      0.3978E-19     -0.4088E-22
      0.1387E+00      0.6533E-19     -0.6714E-22
      0.1422E+00      0.1060E-18     -0.1089E-21
      0.1457E+00      0.1700E-18     -0.1747E-21
      0.1492E+00      0.2698E-18     -0.2773E-21
      0.1527E+00      0.4238E-18     -0.4355E-21
      0.1562E+00      0.6591E-18     -0.6774E-21
      0.1598E+00      0.1016E-17     -0.1044E-20
      0.1633E+00      0.1551E-17     -0.1594E-20
      0.1668E+00      0.2349E-17     -0.2414E-20
      0.1703E+00      0.3529E-17     -0.3627E-20
      0.1738E+00      0.5261E-17     -0.5407E-20
      0.1773E+00      0.7788E-17     -0.8004E-20
      0.1809E+00      0.1145E-16     -0.1177E-19
      0.1844E+00      0.1673E-16     -0.1719E-19
      0.1879E+00      0.2430E-16     -0.2497E-19
      0.1914E+00      0.3511E-16     -0.3608E-19
      0.1949E+00      0.5051E-16     -0.5191E-19
      0.1984E+00      0.7238E-16     -0.7439E-19
      0.2020E+00      0.1034E-15     -0.1063E-18
      0.2055E+00      0.1476E-15     -0.1517E-18
      0.2090E+00      0.2107E-15     -0.2165E-18
      0.2125E+00      0.3013E-15     -0.3096E-18
      0.2160E+00      0.4327E-15     -0.4447E-18
      0.2195E+00      0.6260E-15     -0.6433E-18
      0.2230E+00      0.9153E-15     -0.9407E-18
      0.2266E+00      0.1344E-14     -0.1382E-17
      0.2301E+00      0.1909E-14     -0.1962E-17
      0.2336E+00      0.2600E-14     -0.2672E-17
      0.2371E+00      0.3489E-14     -0.3586E-17
      0.2406E+00      0.4658E-14     -0.4787E-17
      0.2441E+00      0.6201E-14     -0.6373E-17
      0.2477E+00      0.8232E-14     -0.8460E-17
      0.2512E+00      0.1090E-13     -0.1120E-16
      0.2547E+00      0.1439E-13     -0.1479E-16
      0.2582E+00      0.1894E-13     -0.1946E-16
      0.2617E+00      0.2485E-13     -0.2554E-16
      0.2652E+00      0.3252E-13     -0.3342E-16
      0.2688E+00      0.4243E-13     -0.4360E-16
      0.2723E+00      0.5521E-13     -0.5674E-16
      0.2758E+00      0.7166E-13     -0.7365E-16
      0.2793E+00      0.9280E-13     -0.9538E-16
