               n               m        E_phi_nm        E_psi_nm          E_p_nm
     -0.4000E+02     -0.1700E+03      0.4187E-12      0.3085E-12      0.9314E-11
     -0.3900E+02     -0.1700E+03      0.3704E-13      0.3098E-13      0.1869E-12
     -0.3800E+02     -0.1700E+03      0.1399E-13      0.1310E-13      0.6559E-13
     -0.3700E+02     -0.1700E+03      0.6216E-14      0.7191E-14      0.3685E-13
     -0.3600E+02     -0.1700E+03      0.3618E-14      0.3181E-14      0.1895E-13
     -0.3500E+02     -0.1700E+03      0.1442E-14      0.1129E-14      0.9208E-14
     -0.3400E+02     -0.1700E+03      0.4675E-15      0.3502E-15      0.5369E-14
     -0.3300E+02     -0.1700E+03      0.1362E-15      0.1008E-15      0.3066E-14
     -0.3200E+02     -0.1700E+03      0.3869E-16      0.2547E-16      0.1760E-14
     -0.3100E+02     -0.1700E+03      0.1057E-16      0.6440E-17      0.9939E-15
     -0.3000E+02     -0.1700E+03      0.2266E-17      0.1363E-17      0.5461E-15
     -0.2900E+02     -0.1700E+03      0.8608E-18      0.4213E-18      0.3115E-15
     -0.2800E+02     -0.1700E+03      0.3123E-18      0.8865E-19      0.1743E-15
     -0.2700E+02     -0.1700E+03      0.1264E-18      0.2397E-19      0.1052E-15
     -0.2600E+02     -0.1700E+03      0.5888E-19      0.1014E-19      0.6248E-16
     -0.2500E+02     -0.1700E+03      0.2359E-19      0.3627E-20      0.3311E-16
     -0.2400E+02     -0.1700E+03      0.9121E-20      0.1281E-20      0.1461E-16
     -0.2300E+02     -0.1700E+03      0.4085E-20      0.5495E-21      0.6801E-17
     -0.2200E+02     -0.1700E+03      0.1378E-20      0.1945E-21      0.3561E-17
     -0.2100E+02     -0.1700E+03      0.4310E-21      0.9148E-22      0.2010E-17
     -0.2000E+02     -0.1700E+03      0.1980E-21      0.3522E-22      0.1452E-17
     -0.1900E+02     -0.1700E+03      0.5923E-22      0.1625E-22      0.9707E-18
     -0.1800E+02     -0.1700E+03      0.2584E-22      0.7427E-23      0.5171E-18
     -0.1700E+02     -0.1700E+03      0.7440E-23      0.3576E-23      0.3277E-18
