             rho            U_eq          phi_eq               q            j_eq            p_eq
      0.1000E+00      0.0000E+00      0.0000E+00      0.2020E+01      0.9801E+00      0.3317E-01
      0.1009E+00      0.0000E+00      0.0000E+00      0.2020E+01      0.9797E+00      0.3316E-01
      0.1018E+00      0.0000E+00      0.0000E+00      0.2021E+01      0.9794E+00      0.3316E-01
      0.1026E+00      0.0000E+00      0.0000E+00      0.2021E+01      0.9790E+00      0.3316E-01
      0.1035E+00      0.0000E+00      0.0000E+00      0.2021E+01      0.9787E+00      0.3315E-01
      0.1044E+00      0.0000E+00      0.0000E+00      0.2022E+01      0.9783E+00      0.3315E-01
      0.1053E+00      0.0000E+00      0.0000E+00      0.2022E+01      0.9779E+00      0.3315E-01
      0.1062E+00      0.0000E+00      0.0000E+00      0.2023E+01      0.9776E+00      0.3315E-01
      0.1070E+00      0.0000E+00      0.0000E+00      0.2023E+01      0.9772E+00      0.3314E-01
      0.1079E+00      0.0000E+00      0.0000E+00      0.2023E+01      0.9768E+00      0.3314E-01
      0.1088E+00      0.0000E+00      0.0000E+00      0.2024E+01      0.9765E+00      0.3314E-01
      0.1097E+00      0.0000E+00      0.0000E+00      0.2024E+01      0.9761E+00      0.3313E-01
      0.1105E+00      0.0000E+00      0.0000E+00      0.2024E+01      0.9757E+00      0.3313E-01
      0.1114E+00      0.0000E+00      0.0000E+00      0.2025E+01      0.9753E+00      0.3313E-01
      0.1123E+00      0.0000E+00      0.0000E+00      0.2025E+01      0.9749E+00      0.3312E-01
      0.1132E+00      0.0000E+00      0.0000E+00      0.2026E+01      0.9746E+00      0.3312E-01
      0.1141E+00      0.0000E+00      0.0000E+00      0.2026E+01      0.9742E+00      0.3312E-01
      0.1149E+00      0.0000E+00      0.0000E+00      0.2026E+01      0.9738E+00      0.3311E-01
      0.1158E+00      0.0000E+00      0.0000E+00      0.2027E+01      0.9734E+00      0.3311E-01
      0.1167E+00      0.0000E+00      0.0000E+00      0.2027E+01      0.9730E+00      0.3311E-01
      0.1176E+00      0.0000E+00      0.0000E+00      0.2028E+01      0.9726E+00      0.3310E-01
      0.1185E+00      0.0000E+00      0.0000E+00      0.2028E+01      0.9722E+00      0.3310E-01
      0.1193E+00      0.0000E+00      0.0000E+00      0.2028E+01      0.9718E+00      0.3310E-01
      0.1202E+00      0.0000E+00      0.0000E+00      0.2029E+01      0.9713E+00      0.3309E-01
      0.1211E+00      0.0000E+00      0.0000E+00      0.2029E+01      0.9709E+00      0.3309E-01
      0.1220E+00      0.0000E+00      0.0000E+00      0.2030E+01      0.9705E+00      0.3309E-01
      0.1229E+00      0.0000E+00      0.0000E+00      0.2030E+01      0.9701E+00      0.3308E-01
      0.1237E+00      0.0000E+00      0.0000E+00      0.2031E+01      0.9697E+00      0.3308E-01
      0.1246E+00      0.0000E+00      0.0000E+00      0.2031E+01      0.9692E+00      0.3307E-01
      0.1255E+00      0.0000E+00      0.0000E+00      0.2031E+01      0.9688E+00      0.3307E-01
      0.1264E+00      0.0000E+00      0.0000E+00      0.2032E+01      0.9684E+00      0.3307E-01
      0.1272E+00      0.0000E+00      0.0000E+00      0.2032E+01      0.9680E+00      0.3306E-01
      0.1281E+00      0.0000E+00      0.0000E+00      0.2033E+01      0.9675E+00      0.3306E-01
      0.1290E+00      0.0000E+00      0.0000E+00      0.2033E+01      0.9671E+00      0.3306E-01
      0.1299E+00      0.0000E+00      0.0000E+00      0.2034E+01      0.9666E+00      0.3305E-01
      0.1308E+00      0.0000E+00      0.0000E+00      0.2034E+01      0.9662E+00      0.3305E-01
      0.1316E+00      0.0000E+00      0.0000E+00      0.2035E+01      0.9657E+00      0.3304E-01
      0.1325E+00      0.0000E+00      0.0000E+00      0.2035E+01      0.9653E+00      0.3304E-01
      0.1334E+00      0.0000E+00      0.0000E+00      0.2036E+01      0.9648E+00      0.3304E-01
      0.1343E+00      0.0000E+00      0.0000E+00      0.2036E+01      0.9644E+00      0.3303E-01
      0.1352E+00      0.0000E+00      0.0000E+00      0.2037E+01      0.9639E+00      0.3303E-01
      0.1360E+00      0.0000E+00      0.0000E+00      0.2037E+01      0.9635E+00      0.3302E-01
      0.1369E+00      0.0000E+00      0.0000E+00      0.2037E+01      0.9630E+00      0.3302E-01
      0.1378E+00      0.0000E+00      0.0000E+00      0.2038E+01      0.9626E+00      0.3302E-01
      0.1387E+00      0.0000E+00      0.0000E+00      0.2038E+01      0.9621E+00      0.3301E-01
      0.1396E+00      0.0000E+00      0.0000E+00      0.2039E+01      0.9616E+00      0.3301E-01
      0.1404E+00      0.0000E+00      0.0000E+00      0.2039E+01      0.9611E+00      0.3300E-01
      0.1413E+00      0.0000E+00      0.0000E+00      0.2040E+01      0.9607E+00      0.3300E-01
      0.1422E+00      0.0000E+00      0.0000E+00      0.2040E+01      0.9602E+00      0.3300E-01
      0.1431E+00      0.0000E+00      0.0000E+00      0.2041E+01      0.9597E+00      0.3299E-01
      0.1439E+00      0.0000E+00      0.0000E+00      0.2041E+01      0.9592E+00      0.3299E-01
      0.1448E+00      0.0000E+00      0.0000E+00      0.2042E+01      0.9587E+00      0.3298E-01
      0.1457E+00      0.0000E+00      0.0000E+00      0.2042E+01      0.9582E+00      0.3298E-01
      0.1466E+00      0.0000E+00      0.0000E+00      0.2043E+01      0.9578E+00      0.3298E-01
      0.1475E+00      0.0000E+00      0.0000E+00      0.2043E+01      0.9573E+00      0.3297E-01
      0.1483E+00      0.0000E+00      0.0000E+00      0.2044E+01      0.9568E+00      0.3297E-01
      0.1492E+00      0.0000E+00      0.0000E+00      0.2045E+01      0.9563E+00      0.3296E-01
      0.1501E+00      0.0000E+00      0.0000E+00      0.2045E+01      0.9558E+00      0.3296E-01
      0.1510E+00      0.0000E+00      0.0000E+00      0.2046E+01      0.9553E+00      0.3295E-01
      0.1519E+00      0.0000E+00      0.0000E+00      0.2046E+01      0.9548E+00      0.3295E-01
      0.1527E+00      0.0000E+00      0.0000E+00      0.2047E+01      0.9542E+00      0.3294E-01
      0.1536E+00      0.0000E+00      0.0000E+00      0.2047E+01      0.9537E+00      0.3294E-01
      0.1545E+00      0.0000E+00      0.0000E+00      0.2048E+01      0.9532E+00      0.3294E-01
      0.1554E+00      0.0000E+00      0.0000E+00      0.2048E+01      0.9527E+00      0.3293E-01
      0.1562E+00      0.0000E+00      0.0000E+00      0.2049E+01      0.9522E+00      0.3293E-01
      0.1571E+00      0.0000E+00      0.0000E+00      0.2049E+01      0.9517E+00      0.3292E-01
      0.1580E+00      0.0000E+00      0.0000E+00      0.2050E+01      0.9511E+00      0.3292E-01
      0.1589E+00      0.0000E+00      0.0000E+00      0.2050E+01      0.9506E+00      0.3291E-01
      0.1598E+00      0.0000E+00      0.0000E+00      0.2051E+01      0.9501E+00      0.3291E-01
      0.1606E+00      0.0000E+00      0.0000E+00      0.2052E+01      0.9496E+00      0.3290E-01
      0.1615E+00      0.0000E+00      0.0000E+00      0.2052E+01      0.9490E+00      0.3290E-01
      0.1624E+00      0.0000E+00      0.0000E+00      0.2053E+01      0.9485E+00      0.3289E-01
      0.1633E+00      0.0000E+00      0.0000E+00      0.2053E+01      0.9480E+00      0.3289E-01
      0.1642E+00      0.0000E+00      0.0000E+00      0.2054E+01      0.9474E+00      0.3288E-01
      0.1650E+00      0.0000E+00      0.0000E+00      0.2054E+01      0.9469E+00      0.3288E-01
      0.1659E+00      0.0000E+00      0.0000E+00      0.2055E+01      0.9463E+00      0.3287E-01
      0.1668E+00      0.0000E+00      0.0000E+00      0.2056E+01      0.9458E+00      0.3287E-01
      0.1677E+00      0.0000E+00      0.0000E+00      0.2056E+01      0.9452E+00      0.3286E-01
      0.1686E+00      0.0000E+00      0.0000E+00      0.2057E+01      0.9447E+00      0.3286E-01
      0.1694E+00      0.0000E+00      0.0000E+00      0.2057E+01      0.9441E+00      0.3285E-01
      0.1703E+00      0.0000E+00      0.0000E+00      0.2058E+01      0.9436E+00      0.3285E-01
      0.1712E+00      0.0000E+00      0.0000E+00      0.2059E+01      0.9430E+00      0.3284E-01
      0.1721E+00      0.0000E+00      0.0000E+00      0.2059E+01      0.9424E+00      0.3284E-01
      0.1729E+00      0.0000E+00      0.0000E+00      0.2060E+01      0.9419E+00      0.3283E-01
      0.1738E+00      0.0000E+00      0.0000E+00      0.2060E+01      0.9413E+00      0.3283E-01
      0.1747E+00      0.0000E+00      0.0000E+00      0.2061E+01      0.9407E+00      0.3282E-01
      0.1756E+00      0.0000E+00      0.0000E+00      0.2062E+01      0.9402E+00      0.3282E-01
      0.1765E+00      0.0000E+00      0.0000E+00      0.2062E+01      0.9396E+00      0.3281E-01
      0.1773E+00      0.0000E+00      0.0000E+00      0.2063E+01      0.9390E+00      0.3281E-01
      0.1782E+00      0.0000E+00      0.0000E+00      0.2064E+01      0.9384E+00      0.3280E-01
      0.1791E+00      0.0000E+00      0.0000E+00      0.2064E+01      0.9378E+00      0.3280E-01
      0.1800E+00      0.0000E+00      0.0000E+00      0.2065E+01      0.9373E+00      0.3279E-01
      0.1809E+00      0.0000E+00      0.0000E+00      0.2065E+01      0.9367E+00      0.3279E-01
      0.1817E+00      0.0000E+00      0.0000E+00      0.2066E+01      0.9361E+00      0.3278E-01
      0.1826E+00      0.0000E+00      0.0000E+00      0.2067E+01      0.9355E+00      0.3278E-01
      0.1835E+00      0.0000E+00      0.0000E+00      0.2067E+01      0.9349E+00      0.3277E-01
      0.1844E+00      0.0000E+00      0.0000E+00      0.2068E+01      0.9343E+00      0.3277E-01
      0.1853E+00      0.0000E+00      0.0000E+00      0.2069E+01      0.9337E+00      0.3276E-01
      0.1861E+00      0.0000E+00      0.0000E+00      0.2069E+01      0.9331E+00      0.3276E-01
      0.1870E+00      0.0000E+00      0.0000E+00      0.2070E+01      0.9325E+00      0.3275E-01
      0.1879E+00      0.0000E+00      0.0000E+00      0.2071E+01      0.9319E+00      0.3274E-01
      0.1888E+00      0.0000E+00      0.0000E+00      0.2071E+01      0.9313E+00      0.3274E-01
