               n     growth_rate
      0.0000E+00     -0.6314E-03
      0.1000E+01      0.8732E-02
      0.2000E+01      0.1109E+00
      0.3000E+01      0.1552E+00
      0.4000E+01      0.1828E+00
      0.5000E+01      0.2013E+00
      0.6000E+01      0.2140E+00
      0.7000E+01      0.2230E+00
      0.8000E+01      0.2293E+00
      0.9000E+01      0.2335E+00
      0.1000E+02      0.2360E+00
      0.1100E+02      0.2372E+00
      0.1200E+02      0.2372E+00
      0.1300E+02      0.2361E+00
      0.1400E+02      0.2342E+00
      0.1500E+02      0.2315E+00
      0.1600E+02      0.2280E+00
      0.1700E+02      0.2239E+00
      0.1800E+02      0.2191E+00
      0.1900E+02      0.2138E+00
      0.2000E+02      0.2079E+00
      0.2100E+02      0.2015E+00
      0.2200E+02      0.1945E+00
      0.2300E+02      0.1871E+00
      0.2400E+02      0.1792E+00
      0.2500E+02      0.1709E+00
      0.2600E+02      0.1621E+00
      0.2700E+02      0.1529E+00
      0.2800E+02      0.1432E+00
      0.2900E+02      0.1332E+00
      0.3000E+02      0.1227E+00
      0.3100E+02      0.1118E+00
      0.3200E+02      0.1005E+00
      0.3300E+02      0.8888E-01
      0.3400E+02      0.7683E-01
      0.3500E+02      0.6441E-01
      0.3600E+02      0.5160E-01
      0.3700E+02      0.3843E-01
      0.3800E+02      0.2488E-01
      0.3900E+02      0.1097E-01
      0.4000E+02     -0.3310E-02
