               n     growth_rate
      0.0000E+00     -0.1034E-02
      0.1000E+01      0.9815E-02
      0.2000E+01      0.1101E+00
      0.3000E+01      0.1547E+00
      0.4000E+01      0.1826E+00
      0.5000E+01      0.2011E+00
      0.6000E+01      0.2140E+00
      0.7000E+01      0.2230E+00
      0.8000E+01      0.2294E+00
      0.9000E+01      0.2336E+00
      0.1000E+02      0.2362E+00
      0.1100E+02      0.2374E+00
      0.1200E+02      0.2374E+00
      0.1300E+02      0.2364E+00
      0.1400E+02      0.2345E+00
      0.1500E+02      0.2318E+00
      0.1600E+02      0.2283E+00
      0.1700E+02      0.2242E+00
      0.1800E+02      0.2195E+00
      0.1900E+02      0.2142E+00
      0.2000E+02      0.2083E+00
      0.2100E+02      0.2019E+00
      0.2200E+02      0.1950E+00
      0.2300E+02      0.1876E+00
      0.2400E+02      0.1797E+00
      0.2500E+02      0.1714E+00
      0.2600E+02      0.1626E+00
      0.2700E+02      0.1534E+00
      0.2800E+02      0.1438E+00
      0.2900E+02      0.1337E+00
      0.3000E+02      0.1233E+00
      0.3100E+02      0.1124E+00
      0.3200E+02      0.1012E+00
      0.3300E+02      0.8954E-01
      0.3400E+02      0.7752E-01
      0.3500E+02      0.6511E-01
      0.3600E+02      0.5232E-01
      0.3700E+02      0.3917E-01
      0.3800E+02      0.2564E-01
      0.3900E+02      0.1174E-01
      0.4000E+02     -0.2516E-02
