               t          dE_tot           L_tot           N_tot
      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
      0.1000E+01      0.3211E-29      0.3204E-29     -0.8572E-44
      0.2000E+01      0.2640E-29      0.2642E-29      0.9501E-45
      0.3000E+01      0.3034E-29      0.3034E-29      0.1516E-45
      0.4000E+01      0.3059E-29      0.3059E-29     -0.5938E-44
      0.5000E+01      0.2298E-29      0.2294E-29     -0.6640E-44
      0.6000E+01      0.1397E-29      0.1395E-29     -0.8055E-44
      0.7000E+01     -0.3780E-30     -0.3815E-30      0.4223E-44
      0.8000E+01     -0.6770E-30     -0.6753E-30      0.1579E-44
      0.9000E+01      0.2264E-30      0.2282E-30      0.2705E-44
      0.1000E+02      0.1081E-29      0.1083E-29     -0.5687E-45
      0.1100E+02      0.1506E-29      0.1506E-29     -0.1244E-44
      0.1200E+02      0.1435E-29      0.1435E-29      0.5166E-44
      0.1300E+02      0.1413E-29      0.1414E-29     -0.5719E-44
      0.1400E+02      0.2712E-29      0.2716E-29     -0.1011E-43
      0.1500E+02      0.3706E-29      0.3708E-29     -0.1244E-43
      0.1600E+02      0.4279E-29      0.4280E-29     -0.1537E-43
      0.1700E+02      0.4929E-29      0.4932E-29     -0.2725E-43
      0.1800E+02      0.6735E-29      0.6742E-29     -0.3397E-43
      0.1900E+02      0.9822E-29      0.9832E-29     -0.6182E-43
      0.2000E+02      0.1499E-28      0.1501E-28     -0.9070E-43
      0.2100E+02      0.2284E-28      0.2286E-28     -0.1612E-42
      0.2200E+02      0.3665E-28      0.3670E-28     -0.3083E-42
      0.2300E+02      0.5938E-28      0.5945E-28     -0.5709E-42
      0.2400E+02      0.9512E-28      0.9523E-28     -0.1080E-41
      0.2500E+02      0.1521E-27      0.1523E-27     -0.2017E-41
      0.2600E+02      0.2453E-27      0.2456E-27     -0.3847E-41
      0.2700E+02      0.3974E-27      0.3978E-27     -0.7477E-41
      0.2800E+02      0.6471E-27      0.6479E-27     -0.1481E-40
      0.2900E+02      0.1059E-26      0.1060E-26     -0.2989E-40
      0.3000E+02      0.1741E-26      0.1744E-26     -0.6139E-40
      0.3100E+02      0.2872E-26      0.2876E-26     -0.1278E-39
      0.3200E+02      0.4751E-26      0.4757E-26     -0.2690E-39
      0.3300E+02      0.7880E-26      0.7890E-26     -0.5713E-39
